t,ema
161.0021,28.79421
161.5021,28.429
162.0021,28.48886
162.5021,28.34998
163.0021,28.07345
163.5021,28.01571
164.0021,27.91013
164.5021,28.16478
165.0021,28.85701
165.5021,29.14014
166.0021,29.09033
166.5021,28.82835
167.0022,28.45826
167.5022,28.205
168.0022,28.09792
168.5022,27.82179
169.0022,28.15045
169.5022,28.68391
170.0022,28.7111
170.5022,28.39436
171.0022,28.34573
171.5022,28.61567
172.0022,28.87793
172.5022,28.96633
173.0022,28.31906
173.5022,28.03809
174.0022,28.25171
174.5022,28.47328
175.0023,28.23377
175.5023,28.35074
176.0023,28.6212
176.5023,28.73463
177.0023,28.41954
177.5023,28.29257
178.0023,28.72963
178.5023,28.83417
179.0023,28.57033
179.5023,28.37439
180.0023,28.29355
180.5023,28.38104
181.0023,28.60822
181.5023,27.87104
182.0023,27.85002
182.5023,28.41307
183.0023,29.08177
183.5024,29.29721
184.0024,29.1988
184.5024,28.67496
185.0024,27.8148
185.5024,27.81999
186.0024,28.06219
186.5024,28.3967
187.0024,28.86131
187.5024,28.80815
188.0024,28.50557
188.5024,28.52684
189.0024,28.6954
189.5024,28.51049
190.0024,28.21918
190.5025,28.27537
191.0025,27.92637
191.5025,28.14981
192.0025,28.91304
192.5025,29.20373
193.0025,29.08286
193.5025,28.94802
194.0025,28.68405
194.5025,28.29395
195.0025,27.65352
195.5025,27.43571
196.0025,27.3356
196.5025,28.07433
197.0025,29.40433
197.5025,30.11072
198.0025,29.61339
198.5025,29.06809
199.0026,28.2522
199.5026,27.53335
200.0026,27.35325
200.5026,27.90378
201.0026,28.54316
201.5026,28.97269
202.0026,28.99796
202.5026,28.82216
203.0026,28.5584
203.5026,28.54462
204.0026,28.07764
204.5026,27.98792
205.0026,28.59174
205.5026,29.25001
206.0027,28.94848
206.5027,28.22256
207.0027,28.17643
207.5027,28.46063
208.0027,28.49563
208.5027,28.38247
209.0027,27.94891
209.5027,28.4072
210.0027,29.27027
210.5027,29.0549
211.0027,28.48304
211.5027,28.09365
212.0027,28.39952
212.5027,28.61052
213.0027,28.46793
213.5027,28.59495
214.0028,28.74524
214.5028,28.55275
215.0028,28.41193
215.5028,28.2148
216.0028,28.17787
216.5028,28.00382
217.0028,28.55811
217.5028,29.35409
218.0028,29.31107
218.5028,28.71222
219.0028,28.29181
219.5028,28.37183
220.0028,28.56018
220.5028,28.24809
221.0028,27.93381
221.5029,27.63067
222.0029,28.39522
222.5029,29.20836
223.0029,29.23129
223.5029,29.0439
224.0029,28.81881
224.5029,28.61275
225.0029,28.39402
225.5029,28.00776
226.0029,28.31057
226.5029,28.35647
227.0029,28.1643
227.5029,28.42394
228.0029,28.46786
228.5029,28.85503
229.0029,29.00967
229.503,29.07493
230.003,28.59201
230.503,28.09151
231.003,28.2594
231.503,28.43325
232.003,28.56245
232.503,28.73693
233.003,28.78193
233.503,28.61097
234.003,28.32119
234.503,28.32412
235.003,28.55353
235.503,28.59214
236.003,28.40613
236.5031,28.07692
237.0031,28.65195
237.5031,29.17146
238.0031,29.1095
238.5031,28.75279
239.0031,28.34723
239.5031,27.93905
240.0031,27.9762
240.5031,28.76564
241.0031,29.01167
241.5031,28.8566
242.0031,28.66823
242.5031,28.16439
243.0031,27.84602
243.5031,28.20306
244.0031,28.9051
244.5031,29.39791
245.0032,28.99614
245.5032,28.36625
246.0032,28.14182
246.5032,28.46704
247.0032,28.73814
247.5032,28.70311
248.0032,28.86933
248.5032,28.44528
249.0032,27.90205
249.5032,27.92849
250.0032,28.03393
250.5032,28.82391
251.0032,29.2648
251.5032,29.29942
252.0033,29.52362
252.5033,29.11277
253.0033,27.89478
253.5033,27.24522
254.0033,27.84599
254.5033,28.43188
255.0033,28.72466
255.5033,29.0174
256.0033,29.25598
256.5033,28.68322
257.0033,28.36979
257.5033,28.15333
258.0033,28.15875
258.5033,28.98335
259.0033,29.53337
259.5033,29.02037
260.0034,28.46802
260.5034,27.86484
261.0034,27.61787
261.5034,27.95589
262.0034,28.53185
262.5034,28.94405
263.0034,29.235
263.5034,29.09499
264.0034,28.90202
264.5034,28.70988
265.0034,28.55632
265.5034,28.39002
266.0034,28.00066
266.5034,28.28355
267.0034,28.61117
267.5034,28.85091
268.0034,28.78464
268.5034,28.38433
269.0034,27.99507
269.5035,28.3934
270.0035,28.87265
270.5035,28.9712
271.0035,29.00174
271.5035,29.11157
272.0035,29.09006
272.5035,28.43307
273.0035,27.79803
273.5035,27.80006
274.0035,28.02838
274.5035,28.35251
275.0035,28.96196
275.5035,29.16063
